dx,opname,optype,approach,position,count
Gastroesophageal reflux disease,Fundoplication,Others,Videoscopic,Lithotomy,1
Triplet pregnancy,Cesarean section,Others,Open,Supine,1
Metastatic cancer to the liver ,Liver segmentectomy,Hepatic,Open,Lithotomy,1
Appendiceal cancer ,Hemicolectomy,Colorectal,Open,Supine,1
"Colon cancer, ascending",Exploratory laparotomy,Others,Open,Right lateral decubitus,1
Melanoma in situ of other sites,Pelvic tumorectomy,Others,Robotic,Lithotomy,1
Atherosclerosis obliterans without gangrene,Aortofemoral bypass,Vascular,Open,Supine,1
Peritonei carcinomatosis ,Biopsy,Others,Videoscopic,Supine,1
Mediastinitis,Closure of wound,Others,Open,Supine,1
Lymph node enlargement,Mediastinal lymph node dissection,Others,Open,Right lateral decubitus,1
Prostate cancer,Radical prostatectomy,Major resection,Robotic,Trendelenburg,1
Rectal cancer ,Transverse loop colostomy,Colorectal,Open,Supine,1
Neuroendocrine carcinoma of pancreas,Total pancreatectomy,Biliary/Pancreas,Open,Supine,1
Lung cancer unspecified side,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
"Intraductal papillary mucinous neoplasm of pancreas, malignant",Subtotal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Postoperative infection,Exploratory laparotomy,Others,Open,Lithotomy,1
"Insulinoma, uncertain behavior",Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
"Perforation of small intestine, traumatic with open wound into peritoneal cavity",Exploratory laparotomy,Others,Open,Lithotomy,1
"Abnormal chest CT, lung",Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Pancreatic cancer,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
"Colon cancer, rectosigmoid",Transanal endoscopic microsurgery,Colorectal,Open,Lithotomy,1
Pancreatic tail cancer,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Xanthogranulomatous cholecystitis,Hemicolectomy,Colorectal,Open,Supine,1
Ovarian cyst,Staging laparotomy,Minor resection,Open,Supine,1
Leiomyosarcoma ,Exploratory laparotomy,Major resection,Open,Lithotomy,1
Mucinous adenocarcinoma of colon,Transanal excision,Colorectal,Open,Prone,1
"Colon cancer, ascending",Transanal excision,Colorectal,Open,Supine,1
Pontine hemorrhage,Diagnostic laparoscopy,Others,Videoscopic,Supine,1
Non-small cell lung cancer left,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Infiltrating lobular carcinoma of breast unspecified side,Hemihepatectomy,Hepatic,Open,Supine,1
Nontuberculous mycobacterial infection,Lung lobectomy,Major resection,Open,Left lateral decubitus,1
Colostomy status,Colostomy repair,Colorectal,Open,Supine,1
Benign neoplasm of breast left,Excision,Breast,Open,Supine,1
Colonic pseudoobstruction ,Total colectomy,Colorectal,Open,Lithotomy,1
Ingrowing nail,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Neurogenic tumor,Excision,Others,Open,Left lateral decubitus,1
Endometrial cancer unknown stage,Extended hysterectomy,Major resection,Robotic,Trendelenburg,1
Neuroendocrine carcinoma of duodenum,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Colonic adenoma ,Transanal endoscopic microsurgery,Colorectal,Open,Lithotomy,1
Chronic pancreatitis,Pancreaticojejunostomy,Biliary/Pancreas,Open,Supine,1
Duodenal obstruction ,Gastrojejunostomy,Stomach,Videoscopic,Supine,1
Esophageal cancer ,Excision,Minor resection,Videoscopic,Left lateral decubitus,1
Pleural empyema ,Thoracoplasty,Others,Open,Left lateral decubitus,1
External hemorrhoids without complication,Hemorrhoidectomy,Colorectal,Open,Prone,1
Malignant thymoma ,Thymectomy,Others,Robotic,Supine,1
hepatitis b related liver cirrhosis,Liver transplantation,Transplantation,Open,Supine,1
Colorectal polyp,Anterior resection,Colorectal,Open,Lithotomy,1
gallbladder stone ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Mucinous carcinoma of breast right,Biopsy,Breast,Open,Supine,1
Abnormal finding on lung imaging ,Lung wedge resection,Minor resection,Videoscopic,Supine,1
Colorectal cancer,Exploratory laparotomy,Others,Open,Lithotomy,1
Pericardial cyst,Excision,Others,Videoscopic,Left lateral decubitus,1
Adrenal Cushing syndrome,Adrenalectomy,Others,Videoscopic,Left lateral decubitus,1
Fallopian tubal cancer unknown stage,Staging laparotomy,Minor resection,Open,Lithotomy,1
Varicose vein of lower limb,Varicocelectomy,Colorectal,Open,Supine,1
Pancreatic cancer ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
"Colon cancer, sigmoid",Ileostomy,Colorectal,Open,Supine,1
Thyroid nodule,Hemihepatectomy,Hepatic,Open,Supine,1
Peritonitis ,Diagnostic laparoscopy,Others,Videoscopic,Lithotomy,1
End stage renal disease,Revision of arteriovenous fistula,Vascular,Open,Supine,1
Benign neoplasm of coccyx,Excision,Others,Open,Prone,1
Bile duct stone with cholangitis,Hemihepatectomy,Hepatic,Open,Supine,1
Adenomyomatosis of gallbladder,Cholecystectomy,Biliary/Pancreas,Robotic,Reverse Trendelenburg,1
Atherosclerosis obliterans with gangrene,Arteriovenous fistula thrombectomy,Vascular,Open,Supine,1
Xanthogranulomatous cholecystitis,Cholecystectomy,Biliary/Pancreas,Open,Supine,1
Abnormal electrocardiogram,Hernia repair,Colorectal,Open,Supine,1
Cecal cancer,Hartmann procedure,Colorectal,Open,Lithotomy,1
Renal cell carcinoma right,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,1
"Intraductal papillary mucinous neoplasm of pancreas, moderate dysplasia",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Carcinoma in situ of anus,Transanal excision,Colorectal,Open,Prone,1
advanced gastric cancer,Remnant total gastrectomy,Stomach,Open,Supine,1
Breast cancer unspecified side,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
Aspergilloma,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Chronic renal failure,Kidney transplantation,Transplantation,Open,Supine,1
"Tubular adenoma, stomach",Distal gastrectomy,Stomach,Videoscopic,Supine,1
Recurrent / persistent endometrial cancer unknown stage,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Cervical cancer unknown stage,Radical trachelectomy,Major resection,Robotic,Lithotomy,1
Idiopathic pulmonary fibrosis,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,1
"Atypical endometrial hyperplasia, complex",Hysterectomy,Major resection,Robotic,Lithotomy,1
"Embolism and thrombosis, iliac artery",Resection of lower limb artery,Vascular,Open,Supine,1
Injury of popliteal artery,Incision and drainage,Vascular,Open,Supine,1
Esophageal cancer ,Feeding jejunostomy,Others,Open,Supine,1
"Intraductal papillary mucinous neoplasm of pancreas, non-invasive",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,1
Pancreatic cancer,Gastrojejunostomy,Stomach,Open,Supine,1
Late latent syphilis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,1
Pneumothorax,Exploration,Others,Videoscopic,Right lateral decubitus,1
"Age-related macular degeneration, exudative",Hernia repair,Colorectal,Open,Supine,1
Liver transplantation ,Exploratory laparotomy,Others,Open,Supine,1
Testis rupture,Diagnostic procedure,Minor resection,Open,Supine,1
Metastatic cancer to the pancreas,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,1
Rectal cancer,Low anterior resection,Colorectal,Robotic,Trendelenburg,1
Anal fistula,Incision and drainage,Colorectal,Open,Prone,1
Costochondritis,Total thyroidectomy,Thyroid,Open,Supine,1
"Neuroendocrine tumor of pancreas, G1",Excision,Biliary/Pancreas,Open,Supine,1
Aortic aneurysm rupture,Aortoiliac bypass,Vascular,Open,Supine,1
Panperitonitis,Hartmann procedure,Colorectal,Open,Supine,1
Hepatocellular carcinoma,Embolectomy,Vascular,Open,Supine,1
Endometrial cancer unknown stage,Extended hysterectomy,Major resection,Videoscopic,Lithotomy,1
Esophageal cancer ,Ivor Lewis operation,Others,Robotic,Supine,1
choledochal cyst,Liver transplantation,Transplantation,Open,Supine,1
Pancreatic cancer,Total gastrectomy,Stomach,Open,Supine,1
"Epithelial ovarian cancer, stage 4 unspecified side",Debulking surgery,Major resection,Open,Lithotomy,1
Renal cell carcinoma left,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
hyperthyroidism,Total thyroidectomy,Thyroid,Open,Supine,1
"Neuroendocrine tumor of duodenum, G1",Total gastrectomy,Stomach,Open,Supine,1
"Squamous cell carcinoma of skin, toe",Radical excision of iliac lymph nodes,Colorectal,Open,Supine,1
Leiomyomatosis ,Exploratory laparotomy,Others,Open,Supine,1
"Gastrointestinal stromal tumor, malignant",Excision,Stomach,Open,Lithotomy,1
"Colon cancer, rectosigmoid",Anterior resection,Colorectal,Videoscopic,Trendelenburg,1
Adhesive ileus,Ileostomy repair,Colorectal,Open,Supine,1
Colon disease,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,1
"Neuroendocrine tumor of duodenum, G1",Excision,Stomach,Open,Supine,1
Myxofibrosarcoma ,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,1
Lymphoma,Mediastinal lymph node dissection,Others,Videoscopic,Supine,1
Gallbladder stone without obstruction,Wound revision,Others,Open,Supine,1
Colonic polyp,Anterior resection,Colorectal,Open,Lithotomy,1
Esophageal cancer,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Colorectal adenomatous polyp ,Transanal excision,Colorectal,Open,Prone,1
Hamartoma of lung left,Excision,Major resection,Videoscopic,Right lateral decubitus,1
Lung nodule,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,1
Common bile duct cancer ,Hepatic hilar resection,Hepatic,Open,Supine,1
Common bile duct cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,1
"Fournier's gangrene, male",Colostomy,Colorectal,Open,Supine,1
Intrahepatic duct stone with obstruction,Hemihepatectomy,Hepatic,Open,Supine,1
Antenatal care for normal pregnancy 34 weeks or more pregnant,Cesarean section,Others,Open,Supine,1
Thrombocytopenia,Splenectomy,Biliary/Pancreas,Videoscopic,Right lateral decubitus,1
Pleural disease,Excision,Others,Videoscopic,Right lateral decubitus,1
Pancreatic cancer,Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Invasive thymoma,Thymectomy,Others,Robotic,Supine,1
Colon cancer ,Ileostomy,Colorectal,Open,Supine,1
Infiltrating lobular carcinoma of breast left,Simple mastectomy,Breast,Open,Supine,1
Prostate cancer,Radical prostatectomy,Major resection,Robotic,Supine,1
Colonic pseudoobstruction,Subtotal colectomy,Colorectal,Open,Supine,1
Neutropenic fever,Lung lobectomy,Major resection,Open,Right lateral decubitus,1
Mediastinal germ cell tumor ,Excision,Others,Open,Supine,1
Colorectal polyp,anterior resection,Colorectal,Open,Lithotomy,1
Common bile duct stone without obstruction,Incision and drainage,Others,Open,Supine,1
Endometrial cancer unknown stage,Pelvic tumorectomy,Major resection,Robotic,Lithotomy,1
Colorectal polyp ,Transanal endoscopic microsurgery,Colorectal,Open,Right lateral decubitus,1
Gynecomastia,Wound revision,Others,Open,Supine,1
Primary aldosteronism ,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,1
Pleural empyema,Empyemectomy,Minor resection,Videoscopic,Right lateral decubitus,1
Solitary pulmonary nodule ,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,1
Synovial sarcoma ,Metastasectomy,Minor resection,Open,Right lateral decubitus,1
Neurogenic tumor ,Excision,Others,Open,Left lateral decubitus,1
Pseudomyxoma peritonei,Exploratory laparotomy,Others,Open,Supine,1
Postoperative empyema ,Clagett procedure,Others,Open,Right lateral decubitus,1
Liposarcoma ,Exploratory laparotomy,Others,Open,Supine,1
Pleural empyema ,Decortication,Others,Open,Left lateral decubitus,1
Gastrointestinal stromal tumor of small intestine ,Resection of intestine,Stomach,Open,Lithotomy,1
"Subarachnoid hemorrhage, traumaticwithout open wound",Exploratory laparotomy,Others,Open,Supine,1
Hepatocellular carcinoma ,Bleeding control,Others,Open,Lithotomy,1
Liver cirrhosis with hepatitis C Child-Pugh C,Liver transplantation,Transplantation,Open,Supine,1
Pancreatic cancer ,Ileostomy,Colorectal,Open,Supine,1
Lung cancer,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,1
Papillary thyroid carcinoma,Thyroid lobectomy,Thyroid,Videoscopic,Supine,1
Atherosclerosis obliterans of aorta without gangrene,Aortoiliac bypass,Vascular,Open,Supine,1
Early gastric cancer,Partial gastrectomy,Stomach,Open,Supine,1
Thyroid cancer,Modified radical neck dissection,Others,Open,Supine,1
Hemorrhoids,Sphincterotomy,Colorectal,Open,Supine,1
Rectal cancer ,Paraaortic lymph node dissection,Others,Open,Lithotomy,1
"Common bile duct cancer, distal",Exploratory laparotomy,Others,Open,Supine,1
Breast cancer left,Excision,Breast,Open,Supine,1
Hepatic failure without coma,Liver transplantation,Transplantation,Open,Supine,1
"Advanced gastric cancer, adenocarcinoma",Distal gastrectomy,Stomach,Videoscopic,Supine,1
thyroid nodule ,Thyroidectomy,Thyroid,Robotic,Supine,1
Epidermal cyst ,Wide excision,Others,Open,Supine,1
"Colon cancer, transverse",Hemicolectomy,Colorectal,Open,Lithotomy,1
"Intraductal papillary mucinous neoplasm of pancreas, benign",Partial pancreatectomy,Biliary/Pancreas,Open,Supine,1
Low back pain site unspecified,Excision,Others,Open,Prone,1
End stage kidney disease on dialysis ,Arteriovenous fistula,Vascular,Open,Supine,1
Pulmonary sclerosing hemangioma ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,1
Venous insufficiency with swelling or pain,Ligation and stripping,Vascular,Open,Supine,1
Chronic pancreatitis,Spleen preserving distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,1
Parathyroid disease,Thyroid lobectomy,Thyroid,Open,Supine,1
"Colon submucosal tumor, unknown behavior",Ultralow anterior resection,Colorectal,Videoscopic,Lithotomy,1
Common bile duct stone without obstruction,Choledochal cyst excision,Biliary/Pancreas,Robotic,Supine,1
Epithelial ovarian cancer unknown stage,Debulking surgery,Major resection,Open,Lithotomy,1
